jatoh: jatuh
engga: tidak
maciw: terima kasih
next: selanjutnya
dg: dengan
yg: yang
gabisa: tidak bisa
bgt: banget
bagussss: bagus
polll: banget
cuma: hanya
emang: memang
kayak: seperti
keliatan: terlihat
bngtt: banget
udah: sudah
kegedean: kebesaran
tp: tapi
sukakk: suka
cuttingnya: potongannya
bangett: banget
skrg: sekarang
pengirimann: pengiriman
cepet: cepat
ngga: tidak
sukaaaa: suka
plisss: please
doangggg: doang
pisan: sekali
mikir: berpikir
tpi: tapi
jdi: jadi
cpt: cepat
lgi: lagi
dah: sudah
nyampe: sampai
baguss: bagus
bangettt: banget
ga: tidak
bahnnnya: bahannya
gabilang: tidak bilang
oversize: kebesaran
nyesel: menyesal
